real_time,wind_speed,pitch_angle,generator_speed,nacelle_direction,wind_direction,nacelle_temperature,air_density,power,turbine_code
2022/6/1 0:00,4.47,0.5,1150,-0.89,232.06,27.7,1.14,164,14#
2022/6/1 0:10,4.05,0.5,1150,2.59,232.41,27.6,1.14,114,14#
2022/6/1 0:20,3.91,0.5,1150,0.51,242.96,27.3,1.14,106,14#
2022/6/1 0:30,3.5,0.5,1150,-1.17,236.93,27.1,1.14,64,14#
2022/6/1 0:40,4.22,0.5,1150,0.11,231.68,27.0,1.14,129,14#
2022/6/1 0:50,4.38,0.5,1150,-0.52,236.21,27.0,1.14,144,14#
2022/6/1 1:00,3.7,0.5,1150,2.54,239.88,26.9,1.14,80,14#
2022/6/1 1:10,2.18,14.86,917,2.69,242.28,26.9,1.14,1,14#
2022/6/1 1:20,2.39,89.0,1,11.11,248.26,27.6,1.14,0,14#
2022/6/1 1:30,2.66,89.0,3,-0.79,236.35,28.7,1.14,0,14#
2022/6/1 1:40,2.65,89.0,4,6.13,243.28,29.3,1.14,0,14#
2022/6/1 1:50,3.21,89.0,4,15.32,252.46,29.7,1.14,0,14#
2022/6/1 2:00,3.2,89.0,4,17.92,255.06,29.9,1.14,0,14#
2022/6/1 2:10,3.07,89.0,5,21.22,258.37,30.0,1.14,0,14#
2022/6/1 2:20,3.01,89.0,7,21.44,258.59,30.1,1.14,0,14#
2022/6/1 2:30,3.29,89.0,9,13.0,249.54,30.2,1.14,0,14#
2022/6/1 2:40,3.89,20.92,782,5.44,239.15,30.1,1.14,43,14#
2022/6/1 2:50,3.9,0.5,1150,0.16,238.88,28.7,1.14,92,14#
2022/6/1 3:00,2.85,0.5,1150,0.17,248.1,27.6,1.14,24,14#
2022/6/1 3:10,2.92,0.5,1150,-4.14,251.91,27.2,1.14,36,14#
2022/6/1 3:20,3.52,0.5,1150,-0.86,246.58,27.0,1.14,64,14#
2022/6/1 3:30,3.25,0.5,1150,0.33,236.85,26.9,1.14,44,14#
2022/6/1 3:40,3.66,0.5,1150,1.55,236.7,26.8,1.14,68,14#
2022/6/1 3:50,4.02,0.5,1150,-7.05,242.98,26.8,1.14,99,14#
2022/6/1 4:00,3.76,0.5,1150,-3.2,230.67,26.8,1.14,91,14#
2022/6/1 4:10,4.13,0.5,1150,1.96,225.81,26.7,1.14,110,14#
2022/6/1 4:20,5.16,0.5,1174,1.88,235.01,26.7,1.14,248,14#
2022/6/1 4:30,4.5,0.5,1164,-2.51,233.03,26.7,1.14,171,14#
2022/6/1 4:40,4.33,0.5,1152,3.17,231.01,26.6,1.14,144,14#
2022/6/1 4:50,4.83,0.5,1150,1.54,233.17,26.5,1.14,186,14#
2022/6/1 5:00,4.9,0.5,1154,-0.39,232.0,26.5,1.14,212,14#
2022/6/1 5:10,4.25,0.5,1150,1.68,234.39,26.3,1.14,131,14#
2022/6/1 5:20,3.9,0.5,1150,4.8,232.15,25.9,1.14,97,14#
2022/6/1 5:30,4.14,0.5,1150,2.87,235.7,25.7,1.14,122,14#
2022/6/1 5:40,4.55,0.5,1150,1.44,232.91,25.6,1.14,162,14#
2022/6/1 5:50,5.39,0.5,1181,-2.82,233.73,25.5,1.14,267,14#
2022/6/1 6:00,5.46,0.5,1205,1.2,233.53,25.4,1.14,296,14#
2022/6/1 6:10,5.16,0.5,1182,3.75,236.77,25.4,1.14,266,14#
2022/6/1 6:20,5.52,0.5,1195,0.53,244.56,25.4,1.14,285,14#
2022/6/1 6:30,4.75,0.5,1167,-1.3,245.27,25.3,1.14,206,14#
2022/6/1 6:40,5.36,0.5,1196,-0.04,241.21,25.3,1.14,275,14#
2022/6/1 6:50,4.91,0.5,1182,0.3,237.45,25.3,1.14,237,14#
2022/6/1 7:00,5.12,0.5,1182,-3.11,242.13,25.3,1.14,250,14#
2022/6/1 7:10,5.67,0.5,1236,-5.01,241.17,25.6,1.14,333,14#
2022/6/1 7:20,5.27,0.5,1183,-0.82,247.04,25.9,1.14,267,14#
2022/6/1 7:30,6.45,0.5,1403,3.11,245.76,26.0,1.14,512,14#
2022/6/1 7:40,5.96,0.5,1337,-0.67,250.71,26.4,1.14,438,14#
2022/6/1 7:50,5.55,0.5,1232,2.47,251.58,26.6,1.14,325,14#
2022/6/1 8:00,5.51,0.5,1220,-1.68,255.51,26.4,1.14,311,14#
2022/6/1 8:10,4.75,0.5,1153,-3.47,253.72,26.4,1.14,199,14#
2022/6/1 8:20,4.4,0.5,1150,2.04,252.36,26.4,1.14,147,14#
2022/6/1 8:30,4.68,0.5,1155,-3.9,252.71,26.5,1.14,186,14#
2022/6/1 8:40,5.75,0.5,1290,-1.53,257.35,26.6,1.14,384,14#
2022/6/1 8:50,5.81,0.5,1280,2.1,256.95,26.5,1.14,379,14#
2022/6/1 9:00,5.2,0.5,1180,1.86,258.11,26.3,1.14,263,14#
2022/6/1 9:10,4.71,0.5,1156,0.28,250.54,26.2,1.14,187,14#
2022/6/1 9:20,3.93,0.5,1150,1.77,241.59,26.2,1.14,102,14#
2022/6/1 9:30,4.05,0.5,1150,-5.58,254.93,26.3,1.14,112,14#
2022/6/1 9:40,4.32,0.5,1164,3.31,258.34,26.3,1.14,157,14#
2022/6/1 9:50,5.01,0.5,1169,-4.22,255.99,26.4,1.14,233,14#
2022/6/1 10:00,5.79,0.5,1291,-2.42,252.13,26.5,1.14,382,14#
2022/6/1 10:10,5.55,0.5,1235,-4.92,255.16,26.6,1.14,321,14#
2022/6/1 10:20,5.33,0.5,1201,0.43,254.88,26.8,1.14,294,14#
2022/6/1 10:30,5.92,0.5,1294,-1.14,254.89,26.9,1.14,390,14#
2022/6/1 10:40,5.62,0.5,1259,0.02,254.92,27.1,1.13,352,14#
2022/6/1 10:50,5.5,0.5,1234,-2.75,259.88,27.2,1.13,327,14#
2022/6/1 11:00,4.87,0.5,1168,2.39,251.83,27.3,1.13,214,14#
2022/6/1 11:10,4.19,0.5,1167,-5.31,256.36,27.5,1.13,150,14#
2022/6/1 11:20,3.78,0.5,1148,-7.31,247.13,27.9,1.13,97,14#
2022/6/1 11:30,3.98,0.5,1146,9.92,220.92,28.3,1.13,105,14#
2022/6/1 11:40,3.18,10.6,858,5.91,225.15,28.5,1.13,26,14#
2022/6/1 11:50,3.87,0.5,1150,9.11,237.83,29.2,1.13,120,14#
2022/6/1 12:00,3.99,0.5,1160,3.57,207.22,29.0,1.13,138,14#
2022/6/1 12:10,3.5,0.5,1149,2.58,215.99,28.8,1.13,86,14#
2022/6/1 12:20,4.69,0.5,1190,1.73,230.13,28.8,1.13,222,14#
