real_time,wind_speed,pitch_angle,generator_speed,nacelle_direction,wind_direction,nacelle_temperature,air_density,power,turbine_code
2022/6/1 0:00,4.38,0.5,1150,-3.46,31.4,27.1,1.14,138,10#
2022/6/1 0:10,4.65,0.5,1150,3.89,27.13,27.1,1.14,178,10#
2022/6/1 0:20,4.38,0.5,1150,1.96,31.19,27.0,1.14,138,10#
2022/6/1 0:30,3.7,0.5,1150,-6.03,31.39,27.0,1.14,81,10#
2022/6/1 0:40,4.13,0.5,1150,3.22,29.55,26.9,1.14,128,10#
2022/6/1 0:50,5.0,0.5,1150,1.49,29.21,26.9,1.14,210,10#
2022/6/1 1:00,4.32,0.5,1150,1.18,29.99,26.9,1.14,135,10#
2022/6/1 1:10,3.51,0.5,1150,-0.7,34.88,26.9,1.14,61,10#
2022/6/1 1:20,3.67,0.5,1150,-1.12,31.7,26.9,1.14,85,10#
2022/6/1 1:30,4.26,0.5,1150,-5.84,29.73,26.8,1.14,138,10#
2022/6/1 1:40,4.62,0.5,1150,2.51,27.72,26.8,1.14,172,10#
2022/6/1 1:50,4.54,0.5,1150,-1.85,34.08,26.6,1.14,161,10#
2022/6/1 2:00,4.31,0.5,1150,-0.74,39.9,26.4,1.14,136,10#
2022/6/1 2:10,4.04,0.5,1150,1.05,35.43,26.3,1.14,116,10#
2022/6/1 2:20,4.29,0.5,1150,1.09,37.26,26.2,1.14,137,10#
2022/6/1 2:30,5.18,0.5,1162,0.04,36.02,26.2,1.14,240,10#
2022/6/1 2:40,4.93,0.5,1150,-0.24,32.41,26.1,1.14,213,10#
2022/6/1 2:50,4.92,0.5,1157,1.34,37.06,26.1,1.14,210,10#
2022/6/1 3:00,4.58,0.5,1150,1.37,42.52,26.1,1.14,166,10#
2022/6/1 3:10,4.19,0.5,1150,-1.86,46.62,26.0,1.14,114,10#
2022/6/1 3:20,4.15,0.5,1150,2.56,43.39,26.0,1.14,112,10#
2022/6/1 3:30,4.75,0.5,1150,-0.17,36.83,26.0,1.14,176,10#
2022/6/1 3:40,5.3,0.5,1164,0.29,36.08,26.0,1.14,259,10#
2022/6/1 3:50,5.38,0.5,1179,2.82,38.61,26.0,1.14,261,10#
2022/6/1 4:00,5.09,0.5,1155,-3.76,32.96,26.0,1.14,226,10#
2022/6/1 4:10,5.75,0.5,1244,1.47,31.19,26.0,1.14,337,10#
2022/6/1 4:20,5.69,0.5,1248,4.64,33.32,26.0,1.14,344,10#
2022/6/1 4:30,4.46,0.5,1154,-2.07,31.14,26.0,1.14,152,10#
2022/6/1 4:40,4.79,0.5,1161,4.38,34.4,25.9,1.14,191,10#
2022/6/1 4:50,4.89,0.5,1151,0.42,36.18,25.9,1.14,200,10#
2022/6/1 5:00,4.79,0.5,1150,-1.01,30.57,25.8,1.14,182,10#
2022/6/1 5:10,4.19,0.5,1150,0.25,33.43,25.8,1.14,119,10#
2022/6/1 5:20,5.01,0.5,1158,4.86,32.03,25.7,1.14,213,10#
2022/6/1 5:30,4.94,0.5,1155,0.27,28.86,25.7,1.14,219,10#
2022/6/1 5:40,5.22,0.5,1186,-0.14,30.86,25.6,1.14,267,10#
2022/6/1 5:50,5.32,0.5,1194,2.14,34.04,25.6,1.14,286,10#
2022/6/1 6:00,5.68,0.5,1255,-0.71,34.92,25.6,1.14,350,10#
2022/6/1 6:10,5.82,0.5,1282,-0.72,36.74,25.5,1.14,380,10#
2022/6/1 6:20,5.46,0.5,1228,1.99,41.31,25.5,1.14,316,10#
2022/6/1 6:30,5.11,0.5,1168,-4.31,42.9,25.5,1.14,233,10#
2022/6/1 6:40,5.24,0.5,1194,4.5,37.29,25.5,1.14,266,10#
2022/6/1 6:50,4.67,0.5,1162,-3.0,34.82,25.5,1.14,190,10#
2022/6/1 7:00,4.6,0.5,1151,2.78,38.73,25.6,1.14,169,10#
2022/6/1 7:10,4.58,0.5,1151,1.36,41.38,25.6,1.14,166,10#
2022/6/1 7:20,5.24,0.5,1187,1.86,43.04,25.6,1.14,259,10#
2022/6/1 7:30,4.87,0.5,1160,0.87,41.68,25.6,1.14,216,10#
2022/6/1 7:40,4.69,0.5,1160,8.35,51.27,25.7,1.14,194,10#
2022/6/1 7:50,5.25,0.5,1191,2.91,51.56,25.7,1.14,266,10#
2022/6/1 8:00,5.69,0.5,1250,-1.69,49.48,25.8,1.14,343,10#
